k,majorityvote time,majorityvote accuracy,averageminimumdistance mean time,averageminimumdistance mean accuracy,averageminimumdistance median time,averageminimumdistance median accuracy,weightedmajorityvote mean time,weightedmajorityvote mean accuracy,weightedmajorityvote median time, weightedmajorityvote median accuracy
1,3.956392,0.325,4.483396,0.325,4.655976,0.325,4.260482,0.325,4.324005,0.325
2,5.190121,0.291,5.685495,0.325,4.018936,0.325,5.553611,0.325,5.199697,0.325
3,4.820466,0.321,5.522735,0.310,4.582739,0.310,4.574913,0.310,4.682426,0.310
4,6.493075,0.329,6.619496,0.306,5.583019,0.296,3.688091,0.312,5.034267,0.302
5,7.236115,0.330,5.944721,0.297,5.719504,0.286,4.731639,0.324,4.923447,0.312
6,7.764824,0.335,6.393490,0.287,3.912162,0.275,4.614403,0.324,5.254955,0.307
7,4.823460,0.337,5.240066,0.275,6.603457,0.262,4.785030,0.325,4.957515,0.305
8,6.172370,0.335,8.680925,0.266,6.196161,0.255,3.840010,0.326,4.961205,0.311
9,5.171700,0.339,6.676678,0.265,4.600388,0.247,5.522242,0.327,5.463176,0.305
10,6.543163,0.341,5.181957,0.256,5.953616,0.233,6.298331,0.332,5.221808,0.307
11,5.592251,0.339,5.808927,0.251,6.071037,0.235,6.166801,0.336,4.724989,0.311
12,6.018747,0.331,5.562703,0.244,6.155973,0.231,6.430999,0.337,5.686823,0.313
13,8.262469,0.330,7.043441,0.249,4.625797,0.234,5.262906,0.343,4.948413,0.317
14,6.500828,0.333,6.834010,0.241,6.290310,0.227,5.890584,0.345,4.641987,0.320
15,8.349403,0.337,6.542535,0.235,6.363723,0.219,7.775225,0.349,6.783859,0.313
16,6.648773,0.339,6.581197,0.238,7.559716,0.219,6.777173,0.351,6.682772,0.320
17,7.312058,0.349,7.143702,0.233,7.066186,0.213,6.763549,0.354,6.539658,0.320
18,8.931384,0.349,7.082310,0.231,7.065790,0.203,6.324532,0.357,6.156466,0.321
19,7.393314,0.351,7.642948,0.220,5.665276,0.191,5.579024,0.361,6.492462,0.315
20,7.385436,0.349,7.144213,0.211,6.767111,0.187,5.668557,0.358,6.165114,0.318
21,7.187424,0.341,7.462636,0.203,5.986511,0.183,6.029966,0.360,6.121552,0.321
22,8.504919,0.342,8.982054,0.203,5.371010,0.182,7.136285,0.368,6.644132,0.319
23,7.484983,0.342,7.922076,0.199,7.012302,0.177,6.740705,0.370,6.016072,0.324
24,8.540372,0.335,7.183830,0.206,7.037375,0.177,6.047609,0.369,6.011285,0.322
25,6.733809,0.338,7.768960,0.199,7.661109,0.173,7.243020,0.368,6.249705,0.321
26,7.855514,0.334,8.195067,0.195,5.872219,0.173,5.717184,0.369,7.933893,0.320
27,6.103498,0.331,7.832999,0.189,6.845112,0.170,4.682571,0.367,5.593671,0.322
28,8.133059,0.335,10.006400,0.189,5.532780,0.171,5.459170,0.369,5.478875,0.327
29,6.913119,0.333,6.621651,0.185,4.949751,0.174,4.994768,0.369,5.570498,0.327
30,7.051159,0.336,7.318906,0.187,6.520790,0.171,8.221780,0.365,5.351746,0.333
31,6.925113,0.339,6.736532,0.186,6.013846,0.169,7.275658,0.368,7.123016,0.335
32,7.188588,0.337,7.593541,0.185,6.299539,0.163,5.652425,0.368,7.013532,0.335
33,7.462726,0.335,8.414491,0.177,6.599323,0.163,7.082885,0.367,8.866471,0.332
34,6.022057,0.337,11.873393,0.185,10.022452,0.167,9.798034,0.372,11.373875,0.335
35,9.480792,0.335,10.929603,0.181,9.136431,0.159,9.896344,0.367,8.741180,0.335
36,8.272951,0.335,8.308445,0.181,6.341813,0.160,5.640534,0.372,5.883388,0.341
37,7.227299,0.341,7.117408,0.185,8.127649,0.165,7.840915,0.373,6.568475,0.336
38,7.770812,0.339,8.321465,0.185,8.823337,0.159,6.376194,0.373,6.856232,0.337
39,6.730650,0.340,5.354183,0.184,6.342732,0.159,6.508271,0.371,5.018048,0.339
40,4.897073,0.345,6.025842,0.191,4.537945,0.159,5.103622,0.369,4.435974,0.336
41,5.077483,0.340,5.952867,0.190,4.555542,0.156,4.409757,0.369,5.019424,0.332
42,5.281353,0.339,5.509798,0.190,4.510846,0.159,4.886382,0.367,5.050148,0.334
43,5.185766,0.340,5.272817,0.189,5.644903,0.159,5.041671,0.369,4.845775,0.332
44,5.329727,0.341,6.212256,0.189,8.568452,0.158,4.587694,0.365,5.174633,0.334
45,7.399517,0.340,13.167338,0.187,12.414061,0.160,11.021424,0.362,11.363871,0.334
46,8.557599,0.340,7.715270,0.189,7.033764,0.161,9.309193,0.364,9.026157,0.333
47,6.618968,0.340,11.436253,0.189,8.603790,0.163,8.883617,0.363,8.910067,0.333
48,7.410025,0.342,9.860470,0.193,6.795161,0.167,13.749421,0.367,11.779234,0.331
49,9.237943,0.333,15.676875,0.191,11.992671,0.167,12.004113,0.366,5.118397,0.333
50,7.380947,0.329,12.390238,0.187,9.819513,0.163,12.354164,0.365,12.069110,0.335
51,10.824961,0.327,7.466085,0.189,6.610173,0.168,6.760089,0.364,6.361938,0.333
52,8.579029,0.327,7.963730,0.187,7.486044,0.163,7.659003,0.363,7.436306,0.333
53,6.821481,0.323,8.087120,0.185,13.524700,0.162,11.969797,0.365,14.567930,0.333
54,5.225110,0.328,7.401046,0.190,7.380978,0.163,8.217718,0.367,8.702441,0.335
55,12.085970,0.329,11.385197,0.189,9.507979,0.155,7.930160,0.362,5.351034,0.334
56,17.393063,0.329,19.165072,0.193,18.594222,0.159,20.277443,0.359,18.430979,0.340
57,13.929808,0.332,24.330621,0.191,20.325277,0.160,20.597040,0.355,19.908240,0.342
58,7.915666,0.334,15.770582,0.189,15.796256,0.157,16.496825,0.357,13.094519,0.341
59,9.155350,0.332,15.671286,0.187,16.934488,0.157,15.982841,0.357,12.033588,0.342
60,10.592605,0.332,15.009082,0.187,13.054848,0.159,14.726658,0.357,12.968220,0.342
61,14.755134,0.331,9.208922,0.186,9.271128,0.161,8.676481,0.357,7.705739,0.341
62,6.769772,0.331,9.906564,0.185,7.492172,0.161,7.123739,0.358,7.552626,0.341
63,7.512225,0.329,9.487535,0.191,6.506344,0.164,6.397871,0.359,6.725906,0.341
64,10.240404,0.325,14.435569,0.192,12.860146,0.167,12.155875,0.357,16.065327,0.339
65,15.253068,0.321,15.298632,0.189,15.695903,0.167,16.187393,0.357,14.065053,0.343
66,13.719722,0.319,13.672895,0.189,15.148620,0.169,15.236198,0.357,14.469157,0.345
67,15.710203,0.320,12.235141,0.190,14.700409,0.169,14.197838,0.355,15.113207,0.345
68,14.016243,0.325,9.502026,0.185,8.430595,0.171,10.761903,0.355,12.126003,0.351
69,12.402983,0.324,6.254172,0.181,9.176244,0.167,8.321821,0.353,7.812667,0.352
70,6.963835,0.321,9.837205,0.188,7.264473,0.169,7.187671,0.355,6.609088,0.352
71,8.311862,0.321,8.076915,0.187,9.312412,0.167,8.490445,0.357,7.017025,0.347
72,8.982166,0.318,7.447814,0.186,9.685251,0.163,7.383207,0.355,8.713169,0.347
73,7.708738,0.316,8.738913,0.191,7.831010,0.163,8.562983,0.354,8.739211,0.348
74,8.107701,0.317,8.131216,0.189,8.958773,0.164,7.832816,0.355,7.937698,0.352
75,7.336205,0.318,9.872450,0.191,7.770308,0.165,7.557064,0.355,7.044001,0.351
76,5.751886,0.312,9.332196,0.193,9.502145,0.170,7.373343,0.355,7.452357,0.347
77,5.994040,0.312,10.046623,0.192,9.370670,0.167,7.338447,0.353,8.736607,0.347
78,7.395982,0.313,8.812551,0.194,8.776102,0.168,9.908200,0.353,6.878753,0.349
79,7.877113,0.307,9.749330,0.198,9.068400,0.169,8.663525,0.353,7.748437,0.342
80,6.572079,0.305,9.634434,0.195,7.217319,0.171,6.705473,0.353,7.698629,0.345
81,7.166169,0.305,12.545271,0.199,7.330535,0.172,7.072493,0.353,8.160606,0.346
82,7.867166,0.310,8.623066,0.192,8.560846,0.168,8.186623,0.351,7.936859,0.345
83,8.674558,0.309,7.345502,0.195,8.414772,0.169,6.431003,0.351,7.628433,0.344
84,8.098553,0.306,9.029182,0.197,5.795628,0.171,7.971367,0.352,8.009981,0.343
85,7.150918,0.307,8.099720,0.195,7.879710,0.167,6.858005,0.353,8.680999,0.345
86,6.672735,0.308,7.559256,0.197,8.361208,0.165,9.245592,0.353,6.501403,0.348
87,6.551764,0.314,7.924483,0.192,6.879045,0.167,8.329773,0.351,7.994002,0.343
88,5.361111,0.311,8.219946,0.191,9.538318,0.167,7.234499,0.351,9.264032,0.346
89,7.484101,0.309,9.571194,0.188,7.637604,0.169,8.432312,0.350,8.844156,0.345
90,5.860166,0.309,9.512323,0.190,8.505794,0.171,8.936327,0.349,7.977239,0.347
91,8.098092,0.309,11.447837,0.188,12.880603,0.169,11.356390,0.349,10.495388,0.347
92,8.433165,0.311,8.946916,0.192,7.170819,0.167,6.813488,0.352,7.503098,0.346
93,7.019100,0.309,8.531053,0.196,8.703960,0.167,9.237144,0.353,9.598964,0.346
94,8.624210,0.307,11.849163,0.200,7.502946,0.171,7.860119,0.355,7.901089,0.346
95,7.336603,0.309,6.902993,0.201,9.055036,0.171,8.681288,0.356,7.126068,0.348
96,9.436581,0.311,9.037494,0.205,7.206092,0.171,5.516626,0.353,10.767751,0.350
97,7.460547,0.309,9.840927,0.203,7.675756,0.174,7.131787,0.353,9.407300,0.351
98,7.229399,0.307,8.298940,0.203,9.138701,0.174,8.899437,0.354,6.917763,0.354
99,7.840997,0.309,8.755183,0.203,9.465907,0.175,7.658251,0.355,7.165107,0.352
